word,WORD,SyntCat,Category,hits,misses,false_alarms,correct_rejections,log_freqs,log_word_len,Article,Word,X,Input.trial_,Experiment.x,meanings,meanings_n,Experiment.y,num_synonyms,syn_n,arousal,concrete,fam,image,valence,NgramFreqArticle,NgramFreqNoArticle,num_syn,r.given.w,w.given.r,Acc,false_alarm_rate,hit_rate
AN ANTICOAGULANT,an ANTICOAGULANT,NOUN,medicine,45,21,9,63,0.36892,0.68293,an,ANTICOAGULANT,75,AN ANTICOAGULANT,mm_mar_2013,1.11538461538462,26,mm_mar_2013,0.894736842105263,19,2,3.37931034482759,3.6,1.80769230769231,2.93333333333333,-16.139709666572507,-13.643201778046185,1.894736842105263,0.8965517241379273,0.5277777777777778,0.782608695652174,0.125,0.6818181818181818
AN ANTIPSYCHOTIC,an ANTIPSYCHOTIC,NOUN,medicine,60,23,11,81,0.33701,0.68293,an,ANTIPSYCHOTIC,68,AN ANTIPSYCHOTIC,mm_mar_2013,1.0952380952381,21,mm_mar_2013,0.647058823529412,17,2.69565217391304,3.6,3.89655172413793,1.73076923076923,2.67857142857143,-16.372166006177576,-13.44780781180384,1.6470588235294121,0.9130434782608656,0.607142857142857,0.8057142857142857,0.11956521739130435,0.7228915662650602
AN ANTISEPTIC,an ANTISEPTIC,NOUN,medicine,62,28,19,75,0.41542,0.58721,an,ANTISEPTIC,69,AN ANTISEPTIC,mm_mar_2013,1.125,24,mm_mar_2013,1.35,20,2.30434782608696,4.25,4.68965517241379,2.69230769230769,3,-15.719943468990671,-13.734201084428527,2.35,0.8888888888888888,0.425531914893617,0.7445652173913043,0.20212765957446807,0.6888888888888889
AN ANTIVIRAL,an ANTIVIRAL,NOUN,medicine,35,30,2,72,0.39935,0.54877,an,ANTIVIRAL,74,AN ANTIVIRAL,mm_mar_2013,1.07692307692308,26,mm_mar_2013,0.5,24,2.63636363636364,3.16,3.82142857142857,1.92592592592593,2.80769230769231,-16.447383982144775,-13.273380627606917,1.5,0.9285714285714259,0.6666666666666666,0.7697841726618705,0.02702702702702703,0.5384615384615384
AN APPETIZER,an APPETIZER,NOUN,food,44,25,11,62,0.50322,0.54877,an,APPETIZER,57,AN APPETIZER,mm_mar_2013,1.20833333333333,24,mm_mar_2013,1.33333333333333,21,3.52380952380952,3.66666666666667,5,3.6551724137931,4.34615384615385,-15.56511243541373,-14.526618634047198,2.33333333333333,0.827586206896554,0.4285714285714292,0.7464788732394366,0.1506849315068493,0.6376811594202898
AN ARACHNID,an ARACHNID,NOUN,living things,57,13,9,66,0.24915,0.50579,an,ARACHNID,73,AN ARACHNID,mm_mar_2013,1,26,mm_mar_2013,1.09090909090909,22,3.56,4.46153846153846,4,4.23076923076923,1.9,-18.67933421782143,-16.461618150110596,2.09090909090909,1,0.47826086956521763,0.8482758620689655,0.12,0.8142857142857143
AN ARCH,an ARCH,NOUN,building components,48,30,10,78,0.47703,0.2529,an,ARCH,70,AN ARCH,mm_mar_2013,1.375,24,mm_mar_2013,1.55,20,2,4.45,4.79310344827586,4.26923076923077,3.39285714285714,-14.421443559165008,-11.152073104280804,2.55,0.7272727272727273,0.3921568627450981,0.7590361445783133,0.11363636363636363,0.6153846153846154
AN ARMY,an ARMY,NOUN,people,47,23,4,74,0.61062,0.2529,an,ARMY,72,AN ARMY,mm_mar_2013,1.68,25,mm_mar_2013,1.6,20,4.17391304347826,4.6,4.89285714285714,4.38461538461539,2.55555555555556,-12.160390237259968,-9.344826237606997,2.6,0.5952380952380952,0.3846153846153846,0.8175675675675675,0.05128205128205128,0.6714285714285714
AN ARTERY,an ARTERY,NOUN,human body,53,34,5,86,0.45493,0.40083,an,ARTERY,58,AN ARTERY,mm_mar_2013,1.58333333333333,24,mm_mar_2013,0.65,20,2.9047619047619,4.14814814814815,4.89285714285714,3.79310344827586,3.03846153846154,-14.870162184618033,-10.90167488470274,1.65,0.6315789473684225,0.6060606060606061,0.7808988764044944,0.054945054945054944,0.6091954022988506
AN ARTISAN,an ARTISAN,NOUN,people,62,14,19,65,0.39441,0.45707,an,ARTISAN,73,AN ARTISAN,mm_mar_2013,1.30769230769231,26,mm_mar_2013,1.94736842105263,19,3,3.7,4.3448275862069,2.84,3.75,-15.726930015667868,-13.519798221164772,2.94736842105263,0.7647058823529399,0.33928571428571447,0.79375,0.2261904761904762,0.8157894736842105
AN ASSAILANT,an ASSAILANT,NOUN,people,46,33,7,76,0.36706,0.54877,an,ASSAILANT,51,AN ASSAILANT,mm_mar_2013,1.03571428571429,28,mm_mar_2013,2.17391304347826,23,4.52380952380952,3.52173913043478,4.44827586206897,3.24,1.64285714285714,-16.68561996162929,-13.737058537986238,3.17391304347826,0.9655172413793063,0.315068493150685,0.7530864197530864,0.08433734939759036,0.5822784810126582
AN ASSASSIN,an ASSASSIN,NOUN,people,62,7,15,61,0.46501,0.50579,an,ASSASSIN,52,AN ASSASSIN,mm_mar_2013,1.22222222222222,27,mm_mar_2013,2.30769230769231,26,3.95652173913043,4.15384615384615,4.65384615384615,3.66666666666667,1.28571428571429,-14.731084983498215,-12.948873372443952,3.30769230769231,0.8181818181818196,0.3023255813953486,0.8482758620689655,0.19736842105263158,0.8985507246376812
AN ASTROLOGER,an ASTROLOGER,NOUN,people,59,23,8,82,0.39331,0.58721,an,ASTROLOGER,53,AN ASTROLOGER,mm_mar_2013,1,26,mm_mar_2013,0.730769230769231,26,2.81818181818182,4.38461538461539,4.57692307692308,3.16666666666667,3.46428571428571,-16.248265815930576,-14.576693386317615,1.7307692307692308,1,0.5777777777777777,0.8197674418604651,0.08888888888888889,0.7195121951219512
