,Word,Word.1,hits,misses,correct rejections,false alarms,acc,false_alarm_rate,hit_rate,num_synonyms,num_ratings_synonyms,num_meanings,num_ratings_meanings,word_upper,word,arousal,concrete,fam,image,valence,pos,num_meanings_wordnet,num_synonyms_wordnet,Lg10WF,Lg10CD,google_ngram_frequency,LgTV_T=1700,LgDF,orth_neighborhood,phon_neighborhood,log_orth_neighborhood,log_phon_neighborhood,GloVe distinctiveness
20,WOLVERINE,WOLVERINE,75,8,78,12,0.884393063583815,0.1333333333333333,0.9036144578313252,0.16,25.0,1.9583333333333333,24.0,WOLVERINE,WOLVERINE,4.45454545454545,4.5,4.67857142857143,4.48,3.14285714285714,n,3,9,1.5185,1.1761,-14.883368622193515,1.098612,1.609438,0.0,0.0,0.0,0.0,0.08821096626549785
21,PSST,PSST,64,7,83,1,0.9483870967741936,0.0119047619047619,0.9014084507042254,0.7142857142857143,14.0,1.0,19.0,PSST,PSST,2.5,1.67857142857143,4.0,2.26086956521739,3.07142857142857,,0,0,2.4048,2.2504,-16.188895903709525,,,,,,,0.050870309430278295
22,HEIL,HEIL,63,7,73,4,0.9251700680272108,0.0519480519480519,0.9,0.8571428571428571,14.0,1.2105263157894737,19.0,HEIL,HEIL,2.80952380952381,2.30769230769231,2.68965517241379,2.07407407407407,2.3448275862069,,0,0,2.2041,1.7076,-14.795322592261046,,,,,,,0.045128955328495875
23,ENEMA,ENEMA,72,8,78,9,0.8982035928143712,0.1034482758620689,0.9,0.4545454545454545,22.0,1.125,24.0,ENEMA,ENEMA,2.59090909090909,4.34615384615385,4.17857142857143,3.88,1.46428571428571,n,1,2,1.8633,1.7243,-14.208223252236849,,,2.0,1.0,1.0986122886681098,0.6931471805599453,0.08879184518712493
24,BAGHDAD,BAGHDAD,71,8,80,6,0.9151515151515152,0.0697674418604651,0.8987341772151899,0.1,20.0,1.0,27.0,BAGHDAD,BAGHDAD,3.45,4.48,4.37037037037037,3.66666666666667,2.17857142857143,n,1,3,1.8751,1.5441,-12.65284785632883,1.276293,2.890372,0.0,0.0,0.0,0.0,0.08638005593814264
25,GPS,GPS,62,7,73,1,0.944055944055944,0.0135135135135135,0.8985507246376812,0.6666666666666666,21.0,1.1111111111111112,27.0,GPS,GPS,2.72727272727273,4.30769230769231,4.70833333333333,3.57692307692308,3.48,n,1,2,2.1239,1.9294,-12.062128723319132,,,,,,,0.07323687039199955
26,WOO,WOO,78,9,76,17,0.8555555555555555,0.1827956989247312,0.896551724137931,2.1818181818181817,22.0,1.5454545454545454,22.0,WOO,WOO,3.5,1.88461538461538,4.0,1.48,4.0,v,2,6,2.5366,2.2765,-13.179310449492789,1.998096,2.302585,19.0,46.0,2.995732273553991,3.8501476017100575,0.11802480566949237
27,WETBACK,WETBACK,67,8,75,4,0.922077922077922,0.050632911392405,0.8933333333333333,1.4,20.0,1.1666666666666667,24.0,WETBACK,WETBACK,3.45454545454545,2.74074074074074,3.92307692307692,3.29166666666667,1.42857142857143,n,1,3,1.3979,1.2788,-16.68779657078723,,,1.0,1.0,0.6931471805599453,0.6931471805599453,0.06159398907300125
28,BRAINWASHED,BRAINWASHED,65,8,65,16,0.8441558441558441,0.1975308641975308,0.8904109589041096,1.1666666666666667,24.0,1.1851851851851851,27.0,BRAINWASHED,BRAINWASHED,3.66666666666667,2.17857142857143,4.96428571428571,2.39130434782609,1.5,v,3,3,1.9345,1.8513,-14.779493138947249,,,0.0,1.0,0.0,0.6931471805599453,0.10381117417881747
29,SHH,SHH,87,11,103,5,0.9223300970873788,0.0462962962962962,0.8877551020408163,1.8235294117647056,17.0,1.12,25.0,SHH,SHH,1.84,1.92,4.03703703703704,2.11538461538462,2.53571428571429,,0,0,3.4489,3.0955,-13.644481064352624,,,,,,,0.0728096386753269
30,LUPUS,LUPUS,77,10,83,11,0.8839779005524862,0.1170212765957446,0.8850574712643678,0.0909090909090909,22.0,1.1111111111111112,27.0,LUPUS,LUPUS,3.05555555555556,3.60714285714286,3.92857142857143,2.43478260869565,1.32142857142857,n,2,2,1.9494,1.2553,-12.969355869450778,,,0.0,1.0,0.0,0.6931471805599453,0.06729832295253496
31,BOOMERANG,BOOMERANG,76,10,73,18,0.8418079096045198,0.1978021978021978,0.8837209302325582,0.3478260869565217,23.0,1.6538461538461535,26.0,BOOMERANG,BOOMERANG,3.44444444444444,4.67857142857143,4.78571428571429,4.8695652173913,3.17857142857143,n,3,6,1.6812,1.4624,-14.492374809136807,1.178655,1.386294,0.0,0.0,0.0,0.0,0.09778817760179898
