,word_upper,word_lower,syntactic_category,semantic_category,acc,hits,misses,correct.rejections,false.alarms,# meanings (human),# synonyms (human),Google n-gram frequency,Google n-gram frequency no article,Arousal,Concreteness,Familiarity,Imageability,Valence,# subjects (human) meanings,1/# meanings (human),# subjects (human) synonyms,# synonyms (human) + 1,1/# synonyms (human),experiment_date,input_trial,article,word_no_article_upper,word_no_article_lower,multi_word,false.alarm.rate,hit.rate
871,EXCEDRIN,excedrin,NOUN,medicine,0.9098360655737704,49,9,62,2,1.0,0.5,-17.014388669791373,-17.014388669791373,2.5,4.518518518518519,4.14814814814815,4.0,3.16,25,1.0,26,1.5,0.6666666666666666,mm_mar_2013,EXCEDRIN,,EXCEDRIN,excedrin,0.0,0.03125,0.8448275862068966
872,EXPLOSIVES,explosives,NOUN,weapon,0.7708333333333334,42,29,69,4,1.36,2.375,-12.679920081272217,-12.679920081272217,4.69565217391304,4.79166666666667,4.66666666666667,4.25,2.0,25,0.7352941176470588,24,3.375,0.2962962962962963,mm_mar_2013,EXPLOSIVES,,EXPLOSIVES,explosives,0.0,0.0547945205479452,0.5915492957746479
873,EXTRA-LARGE,extra-large,ADJ,,0.8439306358381503,56,27,90,0,1.36,2.48,-15.656766965100212,-15.656766965100212,3.2173913043478297,2.7083333333333304,4.57142857142857,3.0416666666666696,3.0,25,0.7352941176470588,25,3.48,0.28735632183908044,mm_mar_2013,EXTRA-LARGE,,EXTRA-LARGE,extra-large,1.0,0.0,0.6746987951807228
874,FABIAN,fabian,NOUN,common names,0.8758620689655172,58,12,69,6,1.0,0.0,-13.53876069827533,-13.53876069827533,2.9047619047618998,4.130434782608701,2.89655172413793,2.52,3.21428571428571,22,1.0,15,1.0,1.0,mm_mar_2013,FABIAN,,FABIAN,fabian,0.0,0.08,0.8285714285714286
875,FAR-FLUNG,far-flung,ADJ,,0.7924528301886793,45,32,81,1,1.28,2.1,-14.402018622845613,-14.402018622845613,3.47619047619048,2.0,4.2758620689655205,1.6,2.60714285714286,25,0.78125,20,3.1,0.3225806451612903,mm_mar_2013,FAR-FLUNG,,FAR-FLUNG,far-flung,1.0,0.012195121951219513,0.5844155844155844
876,FASCINATING,fascinating,ADJ,,0.7272727272727273,45,35,75,10,1.4,3.05,-11.717153390673824,-11.717153390673824,4.26086956521739,1.45,4.86206896551724,1.65384615384615,4.57142857142857,25,0.7142857142857143,20,4.05,0.2469135802469136,mm_mar_2013,FASCINATING,,FASCINATING,fascinating,0.0,0.1176470588235294,0.5625
877,FATHERLY,fatherly,ADJ,,0.8598726114649682,53,19,82,3,1.2962962962963,2.24,-14.222930664054193,-14.222930664054193,2.7826086956521703,2.2592592592592595,4.82142857142857,2.58620689655172,4.24,27,0.7714285714285692,25,3.24,0.308641975308642,mm_mar_2013,FATHERLY,,FATHERLY,fatherly,0.0,0.035294117647058816,0.7361111111111112
878,FATIGUED,fatigued,ADJ,,0.7515923566878981,50,26,68,13,1.55555555555556,3.84615384615385,-13.719853174831721,-13.719853174831721,1.6818181818181799,2.65384615384615,4.8148148148148096,2.85714285714286,1.96153846153846,27,0.642857142857141,26,4.846153846153849,0.20634920634920614,mm_mar_2013,FATIGUED,,FATIGUED,fatigued,0.0,0.16049382716049382,0.6578947368421053
879,FEIGNED,feigned,ADJ,,0.7590361445783133,40,37,86,3,1.1304347826087,2.4,-13.449913082128107,-13.449913082128107,2.6666666666666696,1.9259259259259298,4.25,1.62068965517241,2.03846153846154,23,0.8846153846153813,20,3.4,0.29411764705882354,mm_mar_2013,FEIGNED,,FEIGNED,feigned,0.0,0.033707865168539325,0.5194805194805194
880,FERDINAND MAGELLAN,ferdinand magellan,NOUN,famous people,0.8165680473372781,55,25,83,6,1.0,0.0555555555555556,-16.980708267597624,-16.980708267597624,2.6956521739130404,4.95,3.71428571428571,3.42307692307692,3.28571428571429,23,1.0,18,1.0555555555555556,0.9473684210526316,mm_mar_2013,FERDINAND MAGELLAN,,FERDINAND MAGELLAN,ferdinand magellan,1.0,0.06741573033707865,0.6875
881,FERNANDA,fernanda,NOUN,common names,0.7908496732026143,45,27,76,5,1.0,0.0,-15.617094668758845,-15.617094668758845,2.5,3.92,2.0,1.6296296296296298,3.06666666666667,16,1.0,14,1.0,1.0,mm_mar_2013,FERNANDA,,FERNANDA,fernanda,0.0,0.061728395061728385,0.625
882,FIELD HOCKEY,field hockey,NOUN,sport,0.8091603053435115,41,21,65,4,1.03703703703704,0.24,-15.959807184669144,-15.959807184669144,3.34782608695652,4.46153846153846,4.38461538461539,4.3,3.64285714285714,27,0.9642857142857114,25,1.24,0.8064516129032259,mm_mar_2013,FIELD HOCKEY,,FIELD HOCKEY,field hockey,1.0,0.05797101449275361,0.6612903225806451
883,FLAKY,flaky,ADJ,,0.8590604026845637,55,14,73,7,2.0,2.28571428571429,-14.57577360986958,-14.57577360986958,2.55,2.48148148148148,4.75,3.24137931034483,2.42307692307692,26,0.5,21,3.28571428571429,0.3043478260869561,mm_mar_2013,FLAKY,,FLAKY,flaky,0.0,0.0875,0.7971014492753623
884,FLEETWOOD MAC,fleetwood mac,NOUN,famous people,0.9135802469135802,65,13,83,1,1.0,0.0526315789473684,-16.713433409435286,-16.713433409435286,3.2173913043478297,4.95,4.37931034482759,4.46153846153846,3.75,21,1.0,19,1.0526315789473684,0.95,mm_mar_2013,FLEETWOOD MAC,,FLEETWOOD MAC,fleetwood mac,1.0,0.011904761904761904,0.8333333333333334
885,FLIP-FLOPS,flip-flops,NOUN,clothing,0.932642487046632,77,6,103,7,1.41379310344828,1.1304347826087,-14.309245355140288,-14.309245355140288,2.7,4.27272727272727,4.72413793103448,4.84,4.0,29,0.7073170731707297,23,2.1304347826087002,0.4693877551020399,mm_mar_2013,FLIP-FLOPS,,FLIP-FLOPS,flip-flops,1.0,0.06363636363636363,0.927710843373494
886,FLORA,flora,NOUN,common names,0.8125,50,17,67,10,1.69230769230769,1.6818181818181799,-11.916940239502685,-11.916940239502685,2.4,3.69230769230769,3.5,2.88888888888889,3.7333333333333303,26,0.5909090909090917,22,2.68181818181818,0.3728813559322037,mm_mar_2013,FLORA,,FLORA,flora,0.0,0.12987012987012986,0.746268656716418
887,FLORENCE,florence,NOUN,geography,0.7771739130434783,60,29,83,12,1.47826086956522,0.4583333333333329,-11.665089912715885,-11.665089912715885,3.1304347826087002,4.375,3.7272727272727297,3.75,3.7333333333333303,23,0.6764705882352929,24,1.458333333333333,0.6857142857142858,mm_mar_2013,FLORENCE,,FLORENCE,florence,0.0,0.1263157894736842,0.6741573033707865
888,FLOUR,flour,NOUN,food,0.7929292929292929,60,34,97,7,1.27586206896552,0.5217391304347829,-11.19854488502009,-11.19854488502009,1.9523809523809499,4.60869565217391,4.89655172413793,4.8,3.53571428571429,29,0.7837837837837821,23,1.5217391304347831,0.6571428571428569,mm_mar_2013,FLOUR,,FLOUR,flour,0.0,0.0673076923076923,0.6382978723404256
889,FLUTTERING,fluttering,ADJ,,0.7455621301775148,53,28,73,15,1.4642857142857097,2.08695652173913,-13.030776961189304,-13.030776961189304,3.80952380952381,2.7727272727272703,4.55172413793103,3.08,3.4285714285714306,28,0.6829268292682947,23,3.08695652173913,0.32394366197183105,mm_mar_2013,FLUTTERING,,FLUTTERING,fluttering,0.0,0.17045454545454544,0.654320987654321
890,FOAMY,foamy,ADJ,,0.8057553956834532,39,25,73,2,1.13333333333333,1.7826086956521698,-14.603490966627731,-14.603490966627731,2.85714285714286,3.60869565217391,4.58620689655172,4.04,3.3214285714285694,30,0.8823529411764732,23,2.7826086956521703,0.35937500000000044,mm_mar_2013,FOAMY,,FOAMY,foamy,0.0,0.02666666666666667,0.609375
