Unnamed: 0,word_upper,word_lower,pos,acc,hits,misses,correct_rejections,false_alarms,false_alarm_rate,hit_rate,# meanings (human),# synonyms (human),# meanings (Wordnet),# synonyms (Wordnet),Log Subtlex frequency,Log Subtlex CD,Google n-gram frequency,Concreteness,Imageability,Familiarity,Valence,Arousal,GloVe distinctiveness,Log topic variability,Log document frequency,Log orthographic neighborhood size,Log phonological neighborhood size,num_ratings_meanings,num_ratings_synonyms,Word,pos_ntlk,pos_category
59,WEIRDO,weirdo,n,0.8771929824561403,71,11,79,10,0.1123595505617977,0.8658536585365854,1.1111111111111112,4.0344827586206895,2,10,2.2122,2.1239,-15.127893827745082,2.48,2.96428571428571,4.63333333333333,1.85714285714286,3.625,0.1244155252871866,,,0.6931471805599453,1.0986122886681098,27.0,29.0,weirdo,NN,NOUN
60,MINNIE,minnie,,0.8838709677419355,64,10,73,8,0.0987654320987654,0.8648648648648649,1.1153846153846154,0.3181818181818182,0,0,2.1523,1.7076,-13.3153260445732,3.44444444444444,3.33333333333333,3.46153846153846,3.57142857142857,2.73913043478261,0.0897078525886885,1.933934,2.944439,0.0,2.6390573296152584,26.0,22.0,minnie,NN,NOUN
61,REHABILITATION,rehabilitation,n,0.7834394904458599,64,10,59,24,0.2891566265060241,0.8648648648648649,1.5862068965517242,1.7037037037037035,4,6,1.9191,1.8451,-11.18091353400298,1.88461538461538,2.51851851851852,4.72413793103448,3.3448275862069,2.18181818181818,0.0779223778420483,1.998096,3.295837,0.0,0.0,29.0,27.0,rehabilitation,NN,NOUN
62,GUINEA,guinea,n,0.8982035928143712,70,11,80,6,0.0697674418604651,0.8641975308641975,1.851851851851852,0.8235294117647058,4,12,2.3579,2.2068,-11.61941821134988,3.88,2.875,4.18518518518519,2.89285714285714,2.45,0.1189143222103794,2.593387,4.564348,0.6931471805599453,2.19722457733622,27.0,17.0,guinea,NN,NOUN
63,BROCCOLI,broccoli,n,0.912280701754386,70,11,86,4,0.0444444444444444,0.8641975308641975,1.0769230769230769,0.1538461538461538,2,3,2.0682,1.8388,-13.003461346287205,4.96,5.0,4.92857142857143,3.71428571428571,2.36363636363636,0.0935622914514975,,,0.0,0.0,26.0,26.0,broccoli,NN,NOUN
64,CALZONE,calzone,,0.913793103448276,70,11,89,4,0.043010752688172,0.8641975308641975,1.0,0.4210526315789473,0,0,0.7782,0.699,-17.06701348311594,4.52,4.54166666666667,4.7037037037037,4.10714285714286,3.1,0.0617310129274425,,,,,25.0,19.0,calzone,NN,NOUN
65,ENCYCLOPEDIA,encyclopedia,n,0.8865248226950354,57,9,68,7,0.0933333333333333,0.8636363636363636,1.1111111111111112,0.5416666666666666,1,4,1.9138,1.7853,-12.080591973009463,4.78571428571429,4.52173913043478,4.92307692307692,3.5,2.44444444444444,0.0590082276659693,1.558145,3.988984,0.6931471805599453,0.6931471805599453,27.0,24.0,encyclopedia,NN,NOUN
66,LASAGNA,lasagna,n,0.9215686274509804,63,10,78,2,0.025,0.863013698630137,1.0,0.1034482758620689,2,4,2.2648,1.9777,-14.264034455574484,4.8,4.96428571428571,4.93333333333333,4.03571428571429,3.16666666666667,0.0911174605559243,,,0.0,0.0,27.0,29.0,lasagna,NN,NOUN
67,PINEAPPLE,pineapple,n,0.9285714285714286,69,11,87,1,0.0113636363636363,0.8625,1.0666666666666669,0.1363636363636363,2,5,2.1173,1.8976,-13.091053527930876,4.96,4.92592592592593,4.88888888888889,4.25925925925926,2.83333333333333,0.1043681699641621,2.224624,3.465736,0.6931471805599453,0.6931471805599453,30.0,22.0,pineapple,NN,NOUN
68,UNDERESTIMATED,underestimated,v,0.8352941176470589,69,11,73,17,0.1888888888888888,0.8625,1.1111111111111112,1.75,3,6,2.1106,2.0755,-12.79191117785254,1.78571428571429,1.65217391304348,4.92857142857143,2.46428571428571,2.52941176470588,0.1169747876869398,2.014903,2.302585,0.6931471805599453,0.0,27.0,24.0,underestimated,JJ,ADJ
