,word_upper,word_lower,word_lower_no_article,article,syntactic_category,category,subcategory_1,subcategory_2,subcategory_3,acc,hits,misses,correct_rejections,false_alarms,false_alarm_rate,hit_rate,# meanings (human),# synonyms (human),Log Subtlex frequency,Log Subtlex CD,Google n-gram frequency,Concreteness,Imageability,Familiarity,Valence,Arousal,num_ratings_meanings,num_ratings_synonyms,multi_word
64,EDIBLE,edible,edible,,ADJ,,,,,0.7965116279069767,55,27,82,8,0.0888888888888888,0.6707317073170732,1.1666666666666667,1.8846153846153848,1.8513,1.8129,-12.744868050496407,2.62068965517241,2.52,4.73333333333333,3.8,3.45454545454545,30.0,26.0,0.0
65,ALICE IN CHAINS,alice in chains,alice in chains,,NOUN,famous people,"Bands,singers",,,0.9157894736842104,80,11,94,5,0.0505050505050505,0.8791208791208791,1.2083333333333333,0.0476190476190476,,,-18.26926066283405,4.39285714285714,3.84,3.75862068965517,3.16,3.45454545454545,24.0,21.0,1.0
66,OHIO,ohio,ohio,,NOUN,geography,United States,state,,0.879746835443038,61,14,78,5,0.0602409638554216,0.8133333333333334,1.0689655172413792,0.0769230769230769,,,-11.215287563338064,4.42857142857143,4.15384615384615,4.63333333333333,3.12,2.36363636363636,29.0,26.0,0.0
67,PARIS,paris,paris,,NOUN,geography,world,big city,,0.8209876543209876,55,22,78,7,0.0823529411764705,0.7142857142857143,1.5666666666666669,0.3461538461538461,,,-9.83423755367227,4.44827586206897,4.65384615384615,4.56666666666667,4.04,4.13636363636364,30.0,26.0,0.0
68,A REDHEAD,a redhead,redhead,a,NOUN,people,Other,,,0.8789808917197452,59,17,79,2,0.0246913580246913,0.7763157894736842,1.2333333333333334,1.2,2.2718,2.1139,-15.830242637894518,4.17241379310345,4.69230769230769,4.73333333333333,3.64,3.77272727272727,30.0,25.0,1.0
69,TO TOPPLE,to topple,topple,to,VERB,,,,,0.7604790419161677,50,29,77,11,0.125,0.6329113924050633,1.5,2.730769230769231,1.5185,1.4771,-14.807986031582685,3.13793103448276,3.11538461538462,4.5,2.4,3.81818181818182,30.0,26.0,1.0
70,CHUBBY,chubby,chubby,,ADJ,,,,,0.8690476190476191,67,16,79,6,0.0705882352941176,0.8072289156626506,1.3333333333333333,3.807692307692308,2.3304,2.0569,-13.61715519717275,2.75862068965517,4.26923076923077,4.7,2.44,2.36363636363636,30.0,26.0,0.0
71,ACCURATE,accurate,accurate,,ADJ,,,,,0.6842105263157895,47,35,70,19,0.2134831460674157,0.573170731707317,1.3333333333333333,3.0,2.6031,2.5378,-10.349646533725668,1.96551724137931,1.53846153846154,4.63333333333333,4.08333333333333,2.59090909090909,30.0,25.0,0.0
72,UNEXPECTED,unexpected,unexpected,,ADJ,,,,,0.7458563535911602,65,34,70,12,0.1463414634146341,0.6565656565656566,1.2333333333333334,3.1538461538461537,2.6522,2.5933,-10.99839593236564,1.37931034482759,1.61538461538462,4.63333333333333,2.92,4.09090909090909,30.0,26.0,0.0
73,TO LAUGH,to laugh,laugh,to,VERB,,,,,0.69375,41,35,70,14,0.1666666666666666,0.5394736842105263,1.1,3.692307692307693,3.5061,3.2862,-12.09168692543672,3.3448275862069,4.03846153846154,4.86666666666667,4.875,4.38095238095238,30.0,26.0,1.0
74,BOWLING SHOES,bowling shoes,bowling shoes,,NOUN,clothing,shoes,sport,,0.864516129032258,58,17,76,4,0.05,0.7733333333333333,1.1,0.3076923076923077,,,-17.937901826531245,4.68965517241379,4.80769230769231,4.76666666666667,3.08333333333333,2.18181818181818,30.0,26.0,1.0
